A Arnoia		42 14 54.95 N	8 08 04.88 W
Catedral de Santiago de Compostela	Santiago de Compostela Cathedral is a Roman Catholic church in the city of the same name. It is the reputed burial-place of Saint James the Greater and the destination of the Way of St. James.	42 52 51.27 N	8 32 42.16 W
Cathedral of Justo	The Cathedral of Justo is being built by Justo Gallego in Mejorada del Campo (Community of Madrid, Spain).	40 23 38.88 N	3 29 17.99 W
Cathédrale Notre-Dame de Strasbourg		48 34 55 N	7 45 03 E
Catoira	Catoira is a municipality in Galicia, Spain in the province of Pontevedra.	42 39 54.98 N	8 43 57.93 W
Cedeira	Cedeira is a municipality in the province A Coruña, Galicia, Spain.	43 39 39.53 N	8 03 10.41 W
Celanova	Celanova is a municipality in Galicia, in the province of Ourense.	42 09 07.02 N	7 57 24.65 W
Cenlle	Cenlle is a municipality in Galicia, in the province of Ourense.	42 20 36.87 N	8 05 16.17 W
Central Park		40 46 55.2 N	73 57 57.6 W
Cesantes, Redondela		42 18 33.05 N	8 36 44.72 W
Chantada		42 36 27.15 N	7 46 09.2 W
Chapela, Redondela		42 15 53.95 N	8 40 22.72 W
Chapelle de Languidou	Chapel in Plovan / Bretagne	47 54 49.13 N	4 21 09.72 W
Chapelle Notre-Dame du Verger	Chapelle Notre-Dame du Verger dans l'anse du Verger à Cancale (Ille-et-Vilaine)	48 41 37 N	1 52 51 W
Château d'Angers		47 28 11.67 N	0 33 33.61 W
Château de Bugarach		42 52 36.16 N	2 21 05.15 E
Château de Couiza		42 56 42.68 N	2 15 14.11 E
Chiesa di Sant'Antonio in Caggiano	Church of Saint Anthony in Caggiano.	40 34 04.13 N	15 29 39.47 E
Chioggia	Chioggia is a town in Veneto in Italy.	45 13 04.23 N	12 16 36.76 E
Chroniques de Jérusalem	Jerusalem Mount of Olives Santa Marta Passionists church.	31 46 15.83 N	35 15 08.48 E
Church of Adelboden	The gothic village church of Adelboden was built in the 15th century	46 29 34.1 N	7 33 32.4 E
Church of Saints Apostles Peter and Paul in Vilnius		54 41 38.82 N	25 18 22.69 E
Church of St. Johns in Vilnius	Organ	54 40 57.5 N	25 17 19.22 E
Church of São Vítor (Braga)	Igreja de São Victor em Braga	41 33 09.95 N	8 24 47.49 W
Château de Malmaison	Château de Malmaison was the place of residence of Joséphine de Beauharnais and Napoleon Bonaparte	48 52 15 N	2 10 01 E
Château de Puivert		42 55 16.21 N	2 03 17.82 E
Cinque Terre	The Cinque Terre are five coastal villages in the province of La Spezia, Italy.	44 06 37.74 N	9 44 31.35 E
Collingwood Monument	A monument to Admiral Collingwood (1748-1810) was erected in Tynemouth, North East England, in 1845.	55 00 52.96 N	1 25 12.14 W
Collégiale Saint-Florent de Niederhaslach		48 32 35 N	7 20 29 E
Collégiale Saint-Martin de Colmar		48 04 38.5 N	7 21 29 E
Collégiale Saint-Thiébaut de Thann		47 48 40 N	7 06 06 E
Colonia-Haus	The Colonia-Haus is a 45-storey, 147 m skyscraper completed in 1973 in the Riehl district of Cologne, Germany.	50 57 38 N	6 58 55 E
Comacchio	Comacchio is a town in Emilia Romagna in Italy.	44 41 31.74 N	12 10 55.95 E
Concatedral de Santa María de Guadalajara		40 38 04.72 N	3 09 45.15 W
Corrubedo, Ribeira		42 34 21.64 N	9 04 22.77 W
Cortegada	Cortegada is a municipality in Galicia, in the province of Ourense.	42 12 24.86 N	8 10 01.06 W
Coulée verte René-Dumont	The Promenade plantée is an elevated park in the 12th arrondissement of Paris, France.	48 50 32 N	2 23 15 E
Couvent de la Divine Providence de Saint-Jean-de-Bassel		48 48 12.12 N	6 59 32.06 E
Crecente	Crecente is a municipality in Galicia, in the province of Pontevedra.	42 09 07.02 N	8 13 22.52 W
Cualedro		41 59 18.46 N	7 35 40.71 W
Culleredo	Culleredo is a municipality in the province A Coruña, Galicia, Spain.	43 17 31.02 N	8 23 08.99 W
Curtis Hall Arboretum		40 04 42 N	75 07 44 W
Córdoba (Argentina)	Intendancy square	31 24 00 S	64 11 00 W
Dalhems kyrka	Die Kirche von Dalhem zählt zu den berühmtesten auf Gotland. Ihr Turm, der im 14. Jahrhundert angefügt wurde, gehört zu den höchsten der Landkirchen Gotlands.	57 33 08.7 N	18 32 03.2 E
Dazaifu Tenman-gū		33 31 17.49 N	130 32 05.45 E
Dent du Géant		45 51 43 N	6 57 06 E
Detroit Institute of Arts	The Detroit Institute of Arts is a large art museum in Detroit, Michigan in the United States.	42 21 33.5 N	83 03 53.3 W
Deutsches Museum Verkehrszentrum		48 07 57.85 N	11 32 40.69 E
Deyrulzaferan		37 17 57.6 N	40 47 33.9 E
Dorfkirche Zernikow		53 05 24.62 N	13 05 23.78 E
Dozón		42 34 09.35 N	8 03 08.25 W
Drexel University		39 57 14.68 N	75 11 12.76 W
Duchesse Anne (voilier)		51 02 15.37 N	2 22 20.21 E
Duino-Aurisina	English:	45 45 02.29 N	13 40 29.6 E
Durban		29 53 00 S	31 03 00 E
Dürrenstein (Südtirol)	The Dürrenstein is a mountain in the Dolomites in South Tyrol.	46 40 24 N	12 11 04 E
Edinburgh Park & Ride network	The Park & Ride network serving Edinburgh, Scotland. Services run by Lothian Buses call at all the sites except Ferrytoll.	55 56 30.52 N	3 00 42.77 W
Effnerplatz	The Effnerplatz is a square in the north of Munich, in the Borough Bogenhausen.	48 09 11.79 N	11 36 54.73 E
Église Saint-Jean-Baptiste de Laure-Minervois		43 16 20.78 N	2 31 12.11 E
Église Saint-Martin de Chambonas		44 25 02.45 N	4 07 43.97 E
Eglise Saint-Pierre des Cuisines		43 36 15.49 N	1 26 08.26 E
Église Saint-Vincent-de-Paul (Paris)	Saint-Vincent-de-Paul is a church in Paris near the Gare du Nord	48 52 43.7 N	2 21 06.6 E
Empúries	Empúries is a town in the Mediterranean coast of the Catalan comarca of Empordà. It was founded by the ancient Greeks with the name of Ἐμπόριον (Emporion — "market").	42 08 20.29 N	3 07 11.19 E
Erica, Victoria	Erica, Victoria	37 59 00 S	146 22 00 E
Erlöserkirche (Bad Homburg)	The Church of the Redeemer is a protestant church in Bad Homburg, Germany.	50 13 35.5 N	8 36 42 E
Esgos		42 19 29.71 N	7 41 45.94 W
Eurockéennes 2015		47 41 08.79 N	6 48 30.36 E
European Parliament		48 35 51.82 N	7 46 09.82 E
Fangelsbachfriedhof	The Fangelsbachfriedhof is one of the most important historical cemeteries in Stuttgart.	48 45 56 N	9 10 28 E
Feldkommandostelle Hegewald (East Prussia)		54 08 05.54 N	21 58 36.02 E
Fene	Fene is a municipality in the province A Coruña, Galicia, Spain.	43 27 40.11 N	8 11 28.2 W
Ferrol		43 29 21.46 N	8 13 29.94 W
Ferrytoll Park & Ride	Ferrytoll Park & Ride is a bus/car interchange in Fife, Scotland, at the northern end of the Forth road crossing.	56 01 21.47 N	3 24 22.97 W
Fieschergletscher		46 30 07.88 N	8 08 30.59 E
Fiesole (area archeologica)		43 48 29.05 N	11 17 39.19 E
Fish Creek, Victoria	Fish Creek, Victoria	38 41 00 S	146 05 00 E
Flaucher	Flaucher is an area in the south of Munich on the left and right hand side of the Isar (district: Sendling and Thalkirchen).	48 06 27 N	11 33 27 E
Fort de Bessoncourt		47 38 58.41 N	6 55 37.74 E
Fort de la Miotte		47 38 53.29 N	6 52 30.33 E
Fort des Basses Perches		47 37 34.05 N	6 52 06.81 E
Fort du Bois d'Oye		47 34 27.7 N	6 50 36.55 E
Fort Ross	Fort Ross, a former Russian fur trade outpost, located on the coast of Northern California (United States).	38 30 51.35 N	123 14 36.88 W
Fortaleza da Nogueirosa		43 23 29.12 N	8 08 09.12 W
Fortaleza de San Paio de Narla		43 00 25.83 N	7 49 14 W
Forte di Gavi	Il Forte di Gavi è una fortezza storica costruita su un preesistente castello di origine medioevale.	44 41 27.95 N	8 48 15.55 E
Fortezza del Priamar	La fortezza del Priamar è un antico insediamento storico presente nella città ligure di Savona, Italia.	44 18 16.29 N	8 29 03.44 E
Forêt domaniale de Sète	The National Forest of Sète in the commune of Sète, Hérault, France.	43 24 18.74 N	3 40 13.74 E
Fosse De Sessevalle		50 22 11.03 N	3 15 41.09 E
Four solaire d'Odeillo	The "Centre du Four Solaire Félix Trombe" is located in Odeillo, France.	42 29 37 N	2 01 45 E
Francelos, Ribadavia		42 16 35.51 N	8 09 34.87 W
Franciscan Monastery in Katowice Panewniki	Neo-Romanesque monastery of the Franciscans in Katowice Panewniki in Poland from the early XX century.	50 13 37 N	18 57 45 E
Pfarrkirche St. Bartholomäus in Friesach		46 57 04.28 N	14 24 18.19 E
Fubine	Fubine è un comune in provincia di Alessandria, Piemonte, Italia.	44 57 55.35 N	8 25 32.75 E
Fuzhou	Fuzhou, also known as Foochow, is a city in China.	26 04 16 N	119 18 13 E
Gandino		45 48 42 N	9 54 11 E
Gardens of Nymphenburg Palace	Der Nymphenburger Schlosspark ist eines der größten und bedeutendsten Gartenkunstwerke Deutschlands.	48 09 29 N	11 30 13 E
Garmischer Straße	The Garmischer Straße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 07 28.03 N	11 31 14.51 E
Garten des Himmlischen Friedens	The Garten des Himmlischen Friedens (lit. Garden of Heavenly Peace) is a small walled Chinese garden in the Bethmannpark in Frankfurt-Nordend	50 07 07.57 N	8 41 26.52 E
Gavi	Gavi is a town in Piemonte in Italy.	44 41 19.35 N	8 48 10.64 E
Gedankengang Offenbach	This is part of a series of tunnels in Offenbach that have been redesigned.	50 05 58.64 N	8 45 49.92 E
Gent-Wevelgem 2014		50 48 29.25 N	3 10 49.47 E
Georg-Brauchle-Ring	The Georg-Brauchle-Ring is a street in Munich.	48 10 34.46 N	11 32 35.48 E
Gernikako Arbola	The Gernika oak where the lords of Biscay (including several kings of Castile and Spain) came to take the oath of respect to the basques Fueros (Rules and Rights).	43 18 53.44 N	2 40 47.92 W
Giardino dei Semplici di Firenze	The Orto Botanico di Firenze (2.3 hectares), also known as the Giardino dei Semplici, is a botanical garden maintained by the University of Florence.	43 46 45 N	11 15 39 E
Giurtelecu Şimleului	Giurtelecu Şimleului is a settlement in Romania.	47 18 N	22 48 E
Goethedenkmal (Wien)	The Goethe monument at the Opernring in Vienna by Edmund Hellmer	48 12 12.07 N	16 21 57.73 E
Gogar Tram Depot		55 56 22.27 N	3 19 36.44 W
Gorle		45 42 14 N	9 43 08 E
Government House, Jersey		49 11 41.44 N	2 05 39.78 W
Gradara	Gradara is a town in Marche, Italy.	43 56 15.75 N	12 45 59.24 E
Granollers	Granollers is a city near Barcelona, in Catalonia, Spain.	41 32 35.1 N	2 12 59.63 E
Gråmanstorps kyrka		56 08 59.33 N	13 06 00.4 E
Guaricano	Barrio of Santo Domingo (Dominican Republic), Genoese mission	18 32 01.81 N	69 55 58.57 W
Gut Böckel	Böckel Castle in Rödinghausen, District of Herford, North Rhine-Westphalia, Germany.	52 13 29.1 N	8 31 02.98 E
Gymnasium Koblenzer Straße	The Gymnasium Koblenzer Straße, also known as Kobi, is a German grammar school in Urdenbach, an urban borough of Düsseldorf.	51 08 58.67 N	6 53 08.95 E
Göltzschtalbrücke		50 37 21.29 N	12 14 37.46 E
Hamburg	Hamburg is a City-State in the North of Germany and one of the biggest seaports in Europe.	53 34 07 N	10 02 19 E
Hamburger Rathaus		53 33 01 N	9 59 32 E
Hansestaden Visby	The Hanseatic town Visby was founded in the 10th century, on the then independent Baltic Sea island of Gotland.	57 38 20 N	18 17 40 E
Haus Werburg	Haus Werburg is a small water castle in Spenge, Kreis Herford.	52 08 30.78 N	8 28 33.66 E
Hazmburk	Hazmburk is a hill with castle in České středohoří in Czech Republic.	50 26 03 N	14 00 52 E
Heckenstallerstraße	The Heckenstallerstraße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 06 35.77 N	11 31 42 E
Heiligenhäuschen Neun Morgen, Burggrumbach		49 52 42.52 N	10 01 26.96 E
Hellig Kors Kirke	Hellig Kors Kirke is a church on Nørrebro in Copenhagen, Denmark.	55 41 15.72 N	12 33 05.04 E
Henninger-Turm	The 120-m-high Henninger Turm is located in Frankfurt-Sachsenhausen in Germany.	50 05 50.16 N	8 41 36.77 E
Herford	Herford is a city in North Rhine-Westphalia, Germany.	52 06 57.81 N	8 40 12.11 E
HMS Otus	The HMS Otus is a british Oberon class submarine. It serves today as a museum Sassnitz harbour.	54 30 43.13 N	13 38 29.79 E
Holy Trinity Cathedral in Odessa		46 28 34.36 N	30 44 18.43 E
Hoppenlaufriedhof	The Hoppenlaufriedhof is a cemetery in Stuttgart.	48 46 54 N	9 10 05 E
Horyuji	Hōryū-ji (法隆寺, "Temple of the Flourishing Law") is a Buddhist temple in Ikaruga, Nara Prefecture, Japan.	34 36 53.06 N	135 44 03.02 E
Hospitalkirche (Stuttgart)		48 46 40 N	9 10 22 E
Hôtel du Gouverneur, Belfort		47 38 16.16 N	6 51 49.16 E
Igreja de São Martinho de Aldoar		41 10 14.58 N	8 40 13.83 W
Igrexa de San Pedro de Vilanova de Dozón	The romanic parochial Church of San Pedro of Dozón	42 35 06.77 N	8 01 27.02 W
Igrexa de Santa María de Cambre		43 17 32.03 N	8 20 34.4 W
Igrexa de Santo Antolín de Toques		42 58 41.36 N	7 58 59.23 W
Illa de Cortegada		42 37 05.87 N	8 47 02.7 W
Iloilo City	The City of Iloilo is the capital city of the Provinces of the Philippines of Iloilo.	10 41 24 N	122 33 00 E
Im Klosterhof Nr 4, Kennelbach Vbg, Aufbahrungshalle		47 28 49.67 N	9 45 59.27 E
Info:Kusterdingen	Kusterdingen is a municipality situated between Tübingen and Reutlingen in Baden-Württemberg in Germany.	48 31 20.28 N	9 07 15.24 E
Info:Mössingen	Mössingen is a municipality circa 15km south of Tübingen in Baden-Württemberg in Germany.	48 24 23 N	9 03 27 E
Institut de théologie orthodoxe Saint-Serge		48 52 59.98 N	2 23 01.23 E
Isarring	The Isarring is a street in Munich, part of the Mittlerer Ring around the city centre.	48 09 36.65 N	11 36 03.89 E
Isla San Carlos	Peninsula of San Carlos, commonly known as San Carlos Island, part of Venezuela, is located north of the island of Toas, between the Gulf of Venezuela and Lake Maracaibo.	10 59 42.73 N	71 36 43.16 W
Ivrea	Ivrea is a town in Piemonte in Italy.	45 27 50.4 N	7 52 42.96 E
Jagdschloss Wermsdorf		51 16 59.52 N	12 56 21.85 E
Jesuitenkirche (Wien)	The Jesuit church is a prominent church in Vienna, Austria.	48 12 32.95 N	16 22 39.48 E
Jin Mao Tower	Jin Mao Building	31 14 14 N	121 30 05 E
Johannesburg	Johannesburg is the largest city in South Africa.	26 12 16 S	28 02 44 E
Jubiläumssäule		48 46 42.85 N	9 10 47.53 E
Jumkils kyrka	Jumkils kyrka tillhör Bälingebygdens församling, Upplands västra kontrakt, Uppsala stift / Diocese of Uppsala.	59 56 33.2 N	17 25 23.7 E
Kaaba		21 25 21.11 N	39 49 34.41 E
Kagawa prefecture	Kagawa Prefecture (香川県, Kagawa-ken?) is a prefecture of Japan located on Shikoku island. The capital is Takamatsu.	34 20 24.4 N	134 02 35.8 E
Kansai International Airport	Kansai International Airport, is an international airport located on an artificial island in the middle of Osaka Bay, off the shore of Sennan district of Osaka, Japan.	34 26 03 N	135 13 58 E
Karlsfried	Karlsfried Castle is situated nearby the town of Zittau in Sachsen, Germany.	50 50 05.05 N	14 47 32.29 E
Katharinenhospital Stuttgart		48 48 01.87 N	9 12 21.6 E
Kennesaw State Soccer Stadium	New KSU Stadium is a new stadium near Kennesaw, Georgia that is currently being constructed.	34 01 46.43 N	84 34 03.63 W
Kiel	Kiel is the Capital city and most populous city of the northern German state Schleswig-Holstein.	54 19 31 N	10 08 26 E
